group	idx	run_id	dataset	model	extra_overrides	lr	seed	augment	first_job_id	resubmit_job_id
lad	15	p200k_dr_gt_unit_n109_seed43	drivaer_scaling	geotransolver_surface	forward_kwargs.global_embedding=global_data.U_inf_dir train_split=train_n109	1e-3	43	false	788439	
lad	16	p200k_dr_transolver_unit_n109_seed42	drivaer_scaling	transolver_surface	forward_kwargs.fx.source=global_data.U_inf_dir train_split=train_n109	3e-3	42	false	788440	
lad	17	p200k_dr_transolver_unit_n109_seed43	drivaer_scaling	transolver_surface	forward_kwargs.fx.source=global_data.U_inf_dir train_split=train_n109	3e-3	43	false	788441	
lad	18	p200k_dr_isla_n218_seed42	drivaer_scaling	isla_surface_reference	train_split=train_n218	1e-3	42	false	788442	
lad	19	p200k_dr_isla_n218_seed43	drivaer_scaling	isla_surface_reference	train_split=train_n218	1e-3	43	false	788443	
lad	20	p200k_dr_gt_unit_n218_seed42	drivaer_scaling	geotransolver_surface	forward_kwargs.global_embedding=global_data.U_inf_dir train_split=train_n218	1e-3	42	false	788444	
lad	21	p200k_dr_gt_unit_n218_seed43	drivaer_scaling	geotransolver_surface	forward_kwargs.global_embedding=global_data.U_inf_dir train_split=train_n218	1e-3	43	false	788445	
lad	22	p200k_dr_transolver_unit_n218_seed42	drivaer_scaling	transolver_surface	forward_kwargs.fx.source=global_data.U_inf_dir train_split=train_n218	3e-3	42	false	788446	
lad	23	p200k_dr_transolver_unit_n218_seed43	drivaer_scaling	transolver_surface	forward_kwargs.fx.source=global_data.U_inf_dir train_split=train_n218	3e-3	43	false	788447	
vol	0	p200k_dr_isla_vol_seed42	drivaer_ml_volume_reference	isla_volume_reference	+training.val_interval=10	1e-3	42	false	788448	788866
vol	1	p200k_dr_isla_vol_seed43	drivaer_ml_volume_reference	isla_volume_reference	+training.val_interval=10	1e-3	43	false	788449	788868
vol	2	p200k_dr_gt_unit_vol_seed42	drivaer_ml_volume_mt	geotransolver_volume	forward_kwargs.global_embedding=global_data.U_inf_dir +training.val_interval=10	1e-3	42	false	788450	
vol	3	p200k_dr_gt_unit_vol_seed43	drivaer_ml_volume_mt	geotransolver_volume	forward_kwargs.global_embedding=global_data.U_inf_dir +training.val_interval=10	1e-3	43	false	788451	
